Call Type,Latitude,Longitude,_,
Armed Robbery,34.04494444,-118.4782917,1,
Armed Robbery,34.03641667,-118.4687917,1,
Armed Robbery,34.03113889,-118.4795972,1,
Armed Robbery,34.00926389,-118.48775,1,
Armed Robbery,34.01419445,-118.49625,1,
Armed Robbery,34.03020833,-118.4845694,1,
Armed Robbery,34.01372222,-118.492,1,
Armed Robbery,34.02713889,-118.4883611,1,
Armed Robbery,34.01306945,-118.4838611,1,
Armed Robbery,34.01555556,-118.4767778,1,
Armed Robbery,34.01947222,-118.4694444,1,
Armed Robbery,34.03369444,-118.5006111,1,
Armed Robbery,34.00926389,-118.48775,1,
Armed Robbery,34.03595833,-118.4710139,1,
Armed Robbery,34.01775,-118.4902639,1,
Armed Robbery,34.00241668,-118.489625,1,
Armed Robbery,34.01165278,-118.4923333,1,
Armed Robbery,34.02340278,-118.5059861,1,
Armed Robbery,34.01031944,-118.4805417,1,
Armed Robbery,34.01813889,-118.4824444,1,
Armed Robbery,33.99805556,-118.4796111,1,
Armed Robbery,34.01586111,-118.4588611,1,
Armed Robbery,34.01622222,-118.4921528,1,
Armed Robbery,34.03805556,-118.471625,1,
Armed Robbery,34.00094444,-118.4825278,1,
Armed Robbery,34.01025,-118.4601944,1,
Armed Robbery,34.02416667,-118.4839444,1,
Armed Robbery,34.03176389,-118.4826667,1,
Armed Robbery,34.03151389,-118.494375,1,
Armed Robbery,34.01418056,-118.4851528,1,
Armed Robbery,34.01354167,-118.4726806,1,
Armed Robbery,34.01734722,-118.4734167,1,
Armed Robbery,34.02686111,-118.4553472,2,
Armed Robbery,34.02597222,-118.4833194,2,
Armed Robbery,34.03680556,-118.4950417,2,
Armed Robbery,34.00595833,-118.4898333,2,
Armed Robbery,34.01975,-118.4689306,2,
Armed Robbery,34.02026389,-118.4679722,2,
Armed Robbery,34.01975,-118.4689306,2,
Armed Robbery,34.018125,-118.4962222,2,
Armed Robbery,34.02561111,-118.49025,2,
Armed Robbery,34.02302778,-118.4675,2,
Armed Robbery,34.0073889,-118.4944861,2,
Armed Robbery/Auto Theft,34.003625,-118.4862083,2,
Arson,34.02522222,-118.4907222,2,
Arson,34.02252778,-118.4875833,2,
Arson,34.027125,-118.4548194,2,
Arson,34.02026389,-118.4679722,2,
Arson,34.01025,-118.4956806,2,
Arson,34.01856944,-118.4989444,2,
Arson,34.04305556,-118.4873333,2,
Arson,34.02208333,-118.4962639,2,
Arson,34.0245,-118.46925,2,
Arson,34.02444444,-118.4852083,2,
Arson,34.01141667,-118.4845417,2,
Arson,34.01852778,-118.4819583,2,
Arson,34.02291667,-118.4870972,2,
Arson,34.02291667,-118.4870972,2,
Arson,34.01437504,-118.5024306,2,
Arson,34.02547222,-118.4736389,2,
Arson,34.04069445,-118.4829583,2,
Arson,34.01919444,-118.4699722,2,
Arson,34.00161111,-118.4831944,2,
Arson,34.01419445,-118.49625,2,
Arson,34.00933333,-118.4974167,3,
Arson,34.00581944,-118.4763611,3,
Arson,34.01554167,-118.4978056,3,
Arson,34.00640278,-118.475625,3,
Arson,34.01031944,-118.4805417,3,
Arson,34.01366667,-118.4708611,3,
Arson,34.02561111,-118.4837778,3,
Arson,34.01591667,-118.4608611,3,
Arson,34.01497222,-118.4952917,3,
Arson,34.01601389,-118.4955972,3,
Arson,34.02284722,-118.4953056,3,
Arson,34.02094444,-118.4700694,3,
Arson,34.01419445,-118.49625,3,
Arson,34.02044445,-118.47225,3,
Arson,34.02340278,-118.4849028,3,
Arson,34.01180556,-118.46375,3,
Arson,34.02745833,-118.4896389,3,
Arson,34.02004167,-118.4699861,3,
Arson,34.02781944,-118.4578194,3,
Arson,34.01456944,-118.4631806,3,
Arson,34.023625,-118.4682083,3,
Arson,34.02263889,-118.4858472,3,
Assault,34.02416667,-118.4839444,3,
Assault,34.03969444,-118.5039722,3,
Assault,34.01638889,-118.4951389,3,
Assault,34.01830556,-118.4927639,3,
Assault,34.01986111,-118.4973611,3,
Assault,34.03283333,-118.4830417,3,
Assault,34.02102778,-118.4637222,3,
Assault,34.00255556,-118.4767222,3,
Assault,34.01319445,-118.4974861,3,
Assault,34.01879167,-118.4905833,3,
Assault,34.01441667,-118.4817778,3,
Assault,34.00069445,-118.4870694,3,
Assault,34.01779167,-118.4999028,3,
