Call_Type,Beat
Assault w/Deadly Weapon,A003
Assault w/Deadly Weapon,B001
Assault w/Deadly Weapon,B002
Assault w/Deadly Weapon,B003
Assault w/Deadly Weapon,A008
Assault w/Deadly Weapon,B001
Assault w/Deadly Weapon,A002
Assault w/Deadly Weapon,A002
Assault w/Deadly Weapon,B003
Assault w/Deadly Weapon,B003
Assault w/Deadly Weapon,B002
Assault w/Deadly Weapon,A003
Assault w/Deadly Weapon,B001
Assault w/Deadly Weapon,A002
Assault w/Deadly Weapon,B001
Assault w/Deadly Weapon,A003
Assault w/Deadly Weapon,B002
Assault w/Deadly Weapon,A003
Assault w/Deadly Weapon,A002
Assault w/Deadly Weapon,B004
Assault w/Deadly Weapon,A003
Assault w/Deadly Weapon,A003
Assault w/Deadly Weapon,A002
Assault w/Deadly Weapon,A003
Assault w/Deadly Weapon,B001
Assault w/Deadly Weapon,A007
Assault w/Deadly Weapon,A002
Assault w/Deadly Weapon,B004
Assault w/Deadly Weapon,A007
Assault w/Deadly Weapon,A004
Assault w/Deadly Weapon,B003
Assault w/Deadly Weapon,A006
Assault w/Deadly Weapon,9999
Assault w/Deadly Weapon,A004
Assault w/Deadly Weapon,A003
Assault w/Deadly Weapon,A007
Assault w/Deadly Weapon,A005
Assault w/Deadly Weapon,A007
Assault w/Deadly Weapon,A002
Assault w/Deadly Weapon,A002
Assault w/Deadly Weapon,A003
Assault w/Deadly Weapon,B001
Assault w/Deadly Weapon,B001
Assault w/Deadly Weapon,A002
Assault w/Deadly Weapon,B001
Assault w/Deadly Weapon,A002
Assault w/Deadly Weapon,A001
Assault w/Deadly Weapon,A002
Assault w/Deadly Weapon,A003
Assault w/Deadly Weapon,A004
Assault w/Deadly Weapon,A003
Assault w/Deadly Weapon,A001
Assault w/Deadly Weapon,A002
Attempt Armed Robbery,B003
Attempt Armed Robbery,B003
Attempt Armed Robbery,A006
Attempt Armed Robbery,B003
Attempt Armed Robbery,A005
Attempt Armed Robbery,B001
Attempt Auto Theft,B001
Attempt Auto Theft,A004
Attempt Auto Theft,A003
Attempt Auto Theft,A003
Attempt Auto Theft,B002
Attempt Auto Theft,A003
Attempt Auto Theft,B003
Attempt Auto Theft,A001
Attempt Auto Theft,A005
Attempt Auto Theft,A002
Attempt Auto Theft,B004
Attempt Auto Theft,A005
Attempt Auto Theft,A005
Attempt Auto Theft,B002
Attempt Auto Theft,A004
Attempt Auto Theft,B004
Attempt Auto Theft,A003
Attempt Burglary,A004
Attempt Burglary,B004
Attempt Burglary,B004
Attempt Burglary,A007
Attempt Burglary,A008
Attempt Burglary,B004
Attempt Burglary,B001
Attempt Burglary,A004
Attempt Burglary,A004
Attempt Burglary,A003
Attempt Burglary,A004
Attempt Burglary,A005
Attempt Burglary,A007
Attempt Burglary,A008
Attempt Burglary,B003
Attempt Burglary,A004
Attempt Burglary,A004
Attempt Burglary,B003
Attempt Burglary,B003
Attempt Burglary,B003
Attempt Burglary,A003
Attempt Burglary,A003
Attempt Burglary,A003
Attempt Burglary,A004
Attempt Burglary,B002
Attempt Burglary,A007
Attempt Burglary,A004
Attempt Burglary,B003
Attempt Burglary,A004
Attempt Burglary,A004
Attempt Burglary,A004
Attempt Burglary,A004
Attempt Burglary,A007
Attempt Burglary,A006
Attempt Burglary,A003
Attempt Burglary,A006
Attempt Burglary,A004
Attempt Burglary,B003
Attempt Burglary,A003
Attempt Burglary,A003
Attempt Burglary,B001
Attempt Burglary,A003
Attempt Burglary,B003
Attempt Burglary,A004
Attempt Burglary,A004
Attempt Burglary,A004
Attempt Burglary,B003
Attempt Burglary,A004
Attempt Burglary,A004
Attempt Burglary,A004
Attempt Burglary,B001
Attempt Burglary,B001
Attempt Burglary,A006
Attempt Burglary,B003
Attempt Burglary,B001
Attempt Burglary,A005
Attempt Burglary,A005
Attempt Burglary,A005
Attempt Burglary,A007
Attempt Burglary,A007
Attempt Burglary,A006
Attempt Burglary,A008
