Call Type,Location
Assault,4TH ST / SANTA MONICA BLVD
Assault,500BLK OLYMPIC BLVD W
Assault,500BLK OLYMPIC BLVD W
Assault,5TH ST/WILSHIRE BLVD
Assault,600BLK BROADWAY
Assault,600BLK PACIFIC ST
Assault,600BLK SANTA MONICA BLVD
Assault,600BLK WILSHIRE BLVD
Assault,6TH ST / ASHLAND AVE
Assault,700BLK MONTANA AVE
Assault,700BLK OZONE ST
Assault,800BLK MONTANA AVE
Assault,800BLK MONTANA AVE
Assault,800BLK PACIFIC COAST HWY
Assault,800BLK SANTA MONICA BLVD
Assault,900BLK WILSHIRE BLVD
Assault,CLOVERFIELD BLVD / MICHIGAN AVE
Assault,CLOVERFIELD BLVD / MICHIGAN AVE
Assault,EUCLID ST / PICO BLVD
Assault,LINCOLN BLVD / PICO BLVD
Assault,MAIN ST / PICO BLVD
Assault,OCEAN AVE / COLORADO AVE
Assault,OCEAN AVE / PICO BLVD
Assault,TONGVA
Assault w/Deadly Weapon,00BLK PICO BLVD
Assault w/Deadly Weapon,100BLK BROADWAY
Assault w/Deadly Weapon,100BLK WILSHIRE BLVD
Assault w/Deadly Weapon,10TH ST / PICO BLVD
Assault w/Deadly Weapon,1100BLK 18TH ST
Assault w/Deadly Weapon,1100BLK 18TH ST
Assault w/Deadly Weapon,1100BLK LINCOLN BLVD
Assault w/Deadly Weapon,1100BLK SAN VICENTE BLVD
Assault w/Deadly Weapon,1100BLK WILSHIRE BLVD
Assault w/Deadly Weapon,11TH ST / GEORGINA AVE
Assault w/Deadly Weapon,11TH ST / WILSHIRE BLVD
Assault w/Deadly Weapon,11TH ST/SANTA MONICA BLVD
Assault w/Deadly Weapon,1200BLK 15TH ST
Assault w/Deadly Weapon,1200BLK 15TH ST
Assault w/Deadly Weapon,1200BLK 15TH ST NOW AT SMEH
Assault w/Deadly Weapon,1200BLK 23RD ST
Assault w/Deadly Weapon,1200BLK 2ND ST
Assault w/Deadly Weapon,1200BLK 4TH ST
Assault w/Deadly Weapon,1200BLK LINCOLN BLVD
Assault w/Deadly Weapon,1200BLK WILSHIRE BLVD
Assault w/Deadly Weapon,1300BLK 2ND ST
Assault w/Deadly Weapon,1300BLK 2ND ST
Assault w/Deadly Weapon,1300BLK 3RD STREET PROM
Assault w/Deadly Weapon,1300BLK EUCLID ST
Assault w/Deadly Weapon,1300BLK MICHIGAN AVE
Assault w/Deadly Weapon,1300BLK OCEAN AVE
Assault w/Deadly Weapon,1300BLK WILSHIRE BLVD 
Assault w/Deadly Weapon,1400BLK 16TH ST
Assault w/Deadly Weapon,1400BLK 4TH ST
Assault w/Deadly Weapon,1400BLK OFW - VENICE
Assault w/Deadly Weapon,1400BLK WILSHIRE BLVD
Assault w/Deadly Weapon,1400BLK YALE ST
Assault w/Deadly Weapon,14TH ST / SANTA MONICA BLVD
Assault w/Deadly Weapon,14TH ST / WILSHIRE BLVD
Assault w/Deadly Weapon,1500BLK 2ND ST
Assault w/Deadly Weapon,1500BLK 2ND ST
Assault w/Deadly Weapon,1500BLK 5TH ST
Assault w/Deadly Weapon,1500BLK 7TH ST
Assault w/Deadly Weapon,1500BLK OCEAN AVE 
Assault w/Deadly Weapon,1500BLK PACIFIC COAST HWY
Assault w/Deadly Weapon,1500BLK PACIFIC COAST HWY
Assault w/Deadly Weapon,15TH ST/SANTA MONICA BLVD
Assault w/Deadly Weapon,1600BLK 6TH ST
Assault w/Deadly Weapon,1600BLK 7TH ST
Assault w/Deadly Weapon,1600BLK APPIAN WAY
Assault w/Deadly Weapon,1700BLK 11TH ST
